fips,County FIPS,County Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
42001,42001,Adams,pa,43958,74,119.6,123.2,2.5,5.5,8.3,14.8,2.3,4.8,7.3,13.1,863,4208,4304,3444,3229,99
42003,42003,Allegheny,pa,579421,65,90.8,93.7,4.5,9.7,14.5,25.3,3.9,8.4,12.6,22,1752,85546,87051,83811,49392,17
42005,42005,Armstrong,pa,41283,66,87.2,90.1,6.3,13.3,19.5,33.4,5.5,11.6,17,29.1,2279,10689,10763,8427,3387,17
42007,42007,Beaver,pa,89671,65,88.9,92.4,4.8,10.5,15.7,27.9,4,8.8,13.2,23.4,1878,9870,10117,8161,4922,169
42009,42009,Bedford,pa,33995,67.1,84.3,87.2,5.9,13.5,21.3,39.6,5,11.7,18.4,34.4,2634,8987,9106,6508,4875,155
42011,42011,Berks,pa,153350,68.9,123.8,127.3,2.8,5.2,7.2,11.2,2.4,4.6,6.4,10,2345,21999,22577,19890,17953,236
42013,42013,Blair,pa,65873,67.1,83.3,85.8,6.7,15,22.9,42.4,6,13.2,20.1,37.2,3666,13908,14366,10782,8631,540
42015,42015,Bradford,pa,34518,54.2,86.8,89.3,3.8,7.2,10,16.2,3.2,6.4,8.8,14.4,2074,6667,6878,4898,3528,305
42017,42017,Bucks,pa,234992,73.3,118.4,123.2,4.2,7.8,10.8,17.3,3.5,6.7,9.3,14.8,6180,22418,23636,17053,13162,815
42019,42019,Butler,pa,95617,65.8,83.4,86.5,7.3,15.2,22.4,38.8,6.2,13,19.1,33.2,2168,8954,9240,6968,5994,182
42021,42021,Cambria,pa,84283,68.1,79.7,82.1,8.6,19.1,29.1,53.7,7.6,16.8,25.7,47.3,3966,13387,13663,9813,7852,392
42023,42023,Cameron,pa,5565,62.4,82.1,84.8,5.7,12.3,18.6,32.7,5,10.7,16.1,28.6,1208,2332,2384,1174,584,50
42025,42025,Carbon,pa,47450,76,128.7,132.5,2.3,5.1,7.8,14.3,2,4.5,6.9,12.8,1184,6144,6301,5046,3563,86
42027,42027,Centre,pa,58575,66.6,97.9,100.7,3.8,8.4,12.4,21.9,3.4,7.4,11,19.5,2033,10100,10257,8239,6722,172
42029,42029,Chester,pa,187930,71.7,126.7,130.9,2.9,5.4,7.4,11.3,2.4,4.7,6.4,9.9,3300,16652,17203,13803,12945,451
42031,42031,Clarion,pa,25725,65.8,78.2,81.1,10.1,20.2,29.3,50.1,8.4,17.3,25.2,43.1,435,2493,2537,2062,1317,4
42033,42033,Clearfield,pa,60366,64.5,84.5,87.1,5.7,12.4,18.5,33.4,4.9,10.8,16.2,29.4,2826,9208,9376,6542,4355,160
42035,42035,Clinton,pa,29283,61.9,93.1,96.2,4.1,8.3,12.2,20.4,3.5,7.3,10.6,17.8,4720,9386,9542,5321,2225,655
42037,42037,Columbia,pa,32395,60.8,103.6,106,3.4,6.1,8.3,13.1,3,5.5,7.6,12,2309,8531,8777,6356,2871,134
42039,42039,Crawford,pa,58920,66.8,84.9,88.1,7.1,14.9,21.8,38.2,6,12.8,18.7,32.7,4319,7616,7758,4153,3563,856
42041,42041,Cumberland,pa,92181,72.5,120.8,124.3,2.1,4.7,7.1,13.1,2,4.1,6.3,11.6,2262,14323,14658,12330,9420,269
42043,42043,Dauphin,pa,113332,67.7,125.1,128,2,3.9,5.6,9.3,2,3.5,5.1,8.4,4805,21513,21854,16968,7790,260
42045,42045,Delaware,pa,195050,73.2,118.7,123.4,4,7.5,10.4,15.8,3.4,6.4,8.7,13.6,2959,19739,20747,17280,15855,500
42047,42047,Elk,pa,23631,63.4,80.8,83.5,6.7,14.3,21.3,37.5,5.8,12.4,18.6,32.6,1167,3257,3332,2126,1399,36
42049,42049,Erie,pa,113165,66,80.3,83.2,8.9,18.4,26.7,46.5,7.6,15.7,23,40.1,1817,8617,9428,7274,6755,474
42051,42051,Fayette,pa,77527,63.8,83.4,85.5,5.5,12,18.1,32.1,4.8,10.7,16.2,28.8,3077,11787,11920,8767,6445,57
42053,42053,Forest,pa,11374,64.1,79.7,82.7,8.2,16.7,24.7,41.9,6.9,14.4,21.1,36,585,1544,1553,968,420,9
42055,42055,Franklin,pa,67696,74,111.3,115,2.8,6.6,10.1,19.1,2.5,5.7,8.8,16.7,1107,10582,10892,9521,9093,46
42057,42057,Fulton,pa,9078,69.9,100.4,103.9,3.3,7.6,12.1,22.5,2.7,6.6,10.4,19.4,189,1295,1325,1110,993,4
