fips,City FIPS,City Name,State,Total Properties,Depth_1in100_NOAA,Depth_1in100_FSF2023,Depth_1in100_FSF2053,RP_1in10_FSF2023,RP_1in20_FSF2023,RP_1in50_FSF2023,RP_1in100_FSF2023,RP_1in10_FSF2053,RP_1in20_FSF2053,RP_1in50_FSF2053,RP_1in100_FSF2053,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023","Properties in FSF 100 Year Zone, 2053",Properties in FSF 100 Year Zone but Not in FEMA SFHA,"Properties in FSF 100 Year Zone but Not in FEMA SFHA, Primary Flood Source is Pluvial",Properties in FEMA SFHA but not FSF 100 Year Zone
4200100,4200100,Aaronsburg,pa,334,72,104.9,107.8,4,9,13,22,4,8,12,20,3,63,64,60,60,0
4200104,4200104,Aaronsburg,pa,259,64,84.1,86.6,5,11.5,17.5,31.5,5,10,15,27,19,45,45,26,20,0
4200116,4200116,Abbottstown,pa,366,72,113.3,116.2,3,6,10,17,3,6,9,15,6,23,23,17,17,0
4200244,4200244,Ackermanville,pa,264,76,116.5,121,4,7.2,12,21,3,6.2,10,18,24,49,49,25,25,0
4200332,4200332,Adamsburg,pa,120,65,93.4,95.9,4,8,13,22,3,7,11,20,0,12,12,12,12,0
4200364,4200364,Adamstown,pa,867,69,118.4,121.6,3,6,8,13,3,5,7.3,11.3,15,131,132,116,116,0
4200372,4200372,Adamsville,pa,75,66,88.3,91.6,6,12,17,30,5,10,15,25,0,9,9,9,9,0
4200396,4200396,Addison,pa,160,64,92.4,94.5,3,7,10,20,3,6,9,18,0,9,9,9,9,0
4200540,4200540,Akron,pa,1368,69,120.5,123.7,3,5,8,12,2,5,7,10,8,78,85,70,60,0
4200572,4200572,Alba,pa,99,51.8,87,89.9,3,6,8,12.8,3,5,7,10.8,15,50,50,37,37,2
4200628,4200628,Albion,pa,771,66,81.4,84.5,7.7,16.7,24.7,42.3,6.7,14.3,21,36.3,5,52,54,47,39,0
4200652,4200652,Albrightsville,pa,173,78,131.6,135.6,2,5,7,14,2,4,7,13,23,44,44,22,16,1
4200660,4200660,Alburtis,pa,1002,70,116.9,120.9,4,7,9,15,3,6,8,13,3,116,119,113,113,0
4200676,4200676,Aldan,pa,1604,73,117.5,122.2,4,8,11,17,4,7,9,14,0,25,25,25,25,0
4200756,4200756,Alexandria,pa,152,68,88.5,91,5,12,19,34,5,10,17,30,83,91,92,8,0,0
4200764,4200764,Alfarata,pa,91,71,107.6,110.4,3,7,11,19,3,6,10,17,1,43,44,42,28,0
4200820,4200820,Aliquippa,pa,6216,65,83.1,86.3,6.4,13.5,20.4,35.7,5.4,11.4,17.5,30.6,23,903,931,883,356,3
4200924,4200924,Alleghenyville,pa,413,69,121.7,125.4,3,5.1,7.7,11.8,3,5,7,10.1,5,31,31,27,27,1
4200980,4200980,Allenport,pa,386,66.3,105.6,108.7,2,5,8,15.3,2,5,7,13.3,4,53,53,49,48,0
4200988,4200988,Allenport,pa,453,64,81.5,83.8,6,13,20,36,5,12,18,32,158,327,327,171,11,2
4201004,4201004,Allensville,pa,221,68.1,94.5,97,4.4,9.6,15,26.6,4,8.6,13.6,24.4,0,85,85,85,85,0
4202000,4202000,Allentown,pa,33837,69.9,114.8,119,3.7,7.5,10.2,16.2,3.3,6.4,8.6,14.1,406,3478,3599,3084,2840,12
4202016,4202016,Allenwood,pa,245,59,103.4,106.2,3,5,7,11,2,4.3,6,10,31,60,63,38,25,9
4202040,4202040,Allison,pa,421,63,81.6,83.8,6,13,20,33,5,12,18,30,3,28,28,25,16,0
4202056,4202056,Allison Park,pa,8802,65,86,88.9,5.7,12,17.7,31.3,4.9,10.3,15.3,26.9,35,702,709,667,519,0
4202072,4202072,Allport,pa,138,65,91.9,94.5,4,9,13,24,4,8,11,21,3,7,7,4,4,0
4202088,4202088,Almedia,pa,546,61,98.2,100.4,4,7,10,16,4,7,9,15,45,445,467,400,0,0
4202128,4202128,Alsace Manor,pa,241,68.1,119.7,123.3,3,5.8,7.8,11.9,3,5,6.8,10.8,0,0,0,0,0,0
4202144,4202144,Altamont,pa,440,69.3,126.9,129.9,2,4,6,10,2,4,5.7,9,0,12,12,12,12,0
4202184,4202184,Altoona,pa,22416,66.9,80.2,82.6,7.6,16.3,25.2,47.3,7,14.3,22.1,41.3,434,3681,3877,3395,3297,148
4202216,4202216,Alverda,pa,196,67,82.3,84.8,7.3,15.3,23,42,6.3,14,20,37,0,14,14,14,14,0
4202264,4202264,Ambler,pa,2161,73,122.3,127.3,4,7,9,14.7,3,6,8,12.7,92,500,504,409,408,1
4202288,4202288,Ambridge,pa,3264,65,83.6,86.7,6,13,20,35,5,11,17,30,12,582,585,571,345,1
4202349,4202349,Amity Gardens,pa,1155,69,124.8,129.2,2.8,5.2,7.2,11,2.4,4.8,6.2,9.2,1,83,84,82,81,0
4202416,4202416,Ancient Oaks,pa,2292,70,115.6,119.5,4,7,10,16,3,6,9,14,114,258,279,145,132,1
4202608,4202608,Annville,pa,1360,69,120.6,123.4,2.1,5.1,7.1,11.2,2.1,4.1,6.1,10.2,34,320,322,286,201,0
4202720,4202720,Apollo,pa,803,66,89.6,92.3,5,11,16,27.7,4,9.7,14,24.7,2,174,170,172,14,0
4202752,4202752,Applewold,pa,129,66,97.5,100.9,4,8,12,20,3,7,10,17,73,126,126,53,0,0
4202826,4202826,Arcadia University,pa,4,74,124.4,129.6,3,7,9,14,3,6,8,12,0,1,1,1,1,0
4202832,4202832,Archbald,pa,3840,61.3,109.7,113.1,2.1,4.8,6.9,11.2,2,4,6,10,89,854,883,768,503,3
4202896,4202896,Ardmore,pa,4662,73,118,122.7,4,8,11,16.4,4,7,9.8,14,13,591,611,578,578,0
4202928,4202928,Arendtsville,pa,339,74,124.1,128,2,4,7,12,2,4,6,11,0,30,40,30,29,0
4202968,4202968,Aristes,pa,225,64.8,116.2,118.8,2.4,5,6.9,10.6,2,4.4,6.2,10.2,0,0,0,0,0,0
4203008,4203008,Arlington Heights,pa,2763,79.5,117.4,121.7,4,8,12.8,23.5,3,7,11.5,20.5,54,651,680,597,455,0
