fips,Properties in SFHA,"Properties in FSF 100 Year Zone, 2023",100yrpropriskpct_pctchange,100yrpropriskpct_sfha,100yrpropriskpct_fsf,NAME,GEOID
42003010301,1,15,14.000000000000002,0.05263157894736842,0.7894736842105263,103.01,42003010301
42003010302,0,212,inf,0.0,0.2789473684210526,103.02,42003010302
42003020100,0,1184,inf,0.0,0.8990129081245254,201,42003020100
42003020300,0,717,inf,0.0,0.863855421686747,203,42003020300
42003030500,0,311,inf,0.0,0.21272229822161423,305,42003030500
42003040200,0,54,inf,0.0,0.0693196405648267,402,42003040200
42003040400,0,20,inf,0.0,0.03003003003003003,404,42003040400
42003040500,0,137,inf,0.0,0.19515669515669515,405,42003040500
42003040600,0,35,inf,0.0,0.08393285371702638,406,42003040600
42003040900,0,45,inf,0.0,0.028337531486146095,409,42003040900
42003050100,0,251,inf,0.0,0.1336528221512247,501,42003050100
42003050600,0,128,inf,0.0,0.09559372666168783,506,42003050600
42003050900,0,0,,0.0,0.0,509,42003050900
42003051000,0,51,inf,0.0,0.27717391304347827,510,42003051000
42003051100,0,0,,0.0,0.0,511,42003051100
42003060300,0,370,inf,0.0,0.27366863905325445,603,42003060300
42003060500,0,19,inf,0.0,0.021300448430493273,605,42003060500
42003070300,0,91,inf,0.0,0.11802853437094682,703,42003070300
42003070500,0,359,inf,0.0,0.3831376734258271,705,42003070500
42003070600,0,119,inf,0.0,0.1904,706,42003070600
42003070800,0,60,inf,0.0,0.11494252873563218,708,42003070800
42003070900,0,433,inf,0.0,0.38386524822695034,709,42003070900
42003080200,0,46,inf,0.0,0.04972972972972973,802,42003080200
42003080400,0,12,inf,0.0,0.021660649819494584,804,42003080400
42003080600,0,1,inf,0.0,0.001669449081803005,806,42003080600
42003080700,0,54,inf,0.0,0.14173228346456693,807,42003080700
42003080900,0,37,inf,0.0,0.06156405990016639,809,42003080900
42003090100,0,938,inf,0.0,0.8717472118959108,901,42003090100
42003090200,0,3,inf,0.0,0.0026292725679228747,902,42003090200
42003090300,0,123,inf,0.0,0.156289707750953,903,42003090300
42003100500,0,82,inf,0.0,0.09579439252336448,1005,42003100500
